Parameter,Value,Error,95% CI Low,95% CI High
Scale,0.09897647160579871,8.100277187117465e-05,0.09881566077165443,0.09913728243994299
E00,1.7845178389672638,0.0005367970493458746,1.7834521620863693,1.7855835158481583
Width,0.07894439764258894,0.00017668869871093277,0.07859362622616432,0.07929516905901356
W,-0.008555171989892888,0.0005358254118623645,-0.009618919926498371,-0.007491424053287406
