Energy_eV,Experimental_Abs,Total_Model,Vib_0-0,Vib_0-1,Vib_0-2,Vib_0-3,Vib_0-4
3.310020821098713206e+00,9.576526727704967601e-03,1.662629514326718613e-27,2.726087152095659305e-82,3.099770356060608471e-65,1.726442689691319671e-50,6.286629325098059673e-38,1.662629514263852552e-27
3.303055326176713269e+00,9.958903311058283150e-03,4.267370987413347971e-27,1.496652433845052427e-81,1.407193279792698931e-64,6.480692525401959372e-50,1.951344869174288454e-37,4.267370987218213326e-27
3.296119085592769782e+00,1.059885670338250353e-02,1.082545831488126692e-26,8.095362121545474363e-81,6.298814500169180337e-64,2.400591279952817354e-49,5.981697936431637826e-37,1.082545831428309785e-26
3.289211915435422462e+00,1.078815478552774820e-02,2.714602021553461155e-26,4.314668501479068516e-80,2.780380700568307545e-63,8.776067490479553315e-49,1.811108142654215739e-36,2.714602021372350651e-26
3.282333633331568912e+00,1.113918070690486303e-02,6.729649050884435422e-26,2.266289838471903252e-79,1.210455880666109156e-62,3.166819556815078710e-48,5.416868523876447480e-36,6.729649050342749487e-26
3.275484058430409018e+00,1.133967397752873481e-02,1.649517068485558029e-25,1.173277339055611957e-78,5.198177723143919958e-62,1.128091636128503138e-47,1.600626980012417103e-35,1.649517068325495417e-25
3.268663011387599848e+00,1.219110187574201469e-02,3.998071292133687766e-25,5.987738205626797428e-78,2.202258490544866789e-61,3.967514863896242770e-47,4.673295011670256073e-35,3.998071291666358048e-25
3.261870314349598843e+00,1.263868307471105977e-02,9.583500201645935569e-25,3.012734259342910945e-77,9.205711817836509843e-61,1.377845945554367807e-46,1.348342349986163294e-34,9.583500200297592121e-25
3.255105790938205512e+00,1.307576429328868861e-02,2.272101209685890256e-24,1.494696793484738801e-76,3.797297592589485646e-60,4.725468284286354021e-46,3.844794649067317881e-34,2.272101209301411033e-24
3.248369266235297204e+00,1.368872175277124903e-02,5.328567810785801777e-24,7.313029744875897961e-76,1.545879725378519019e-59,1.600680638808431733e-45,1.083661401197889168e-33,5.328567809702140718e-24
3.241660566767750939e+00,1.460000534255243357e-02,1.236293170436661320e-23,3.528991422523439748e-75,6.211773148037696932e-59,5.355908314837612264e-45,3.019342913833283732e-33,1.236293170134727074e-23
3.234979520492551774e+00,1.597734212867575262e-02,2.837976992597282073e-23,1.679845442986724095e-74,2.464045289748545907e-58,1.770445386791980302e-44,8.317254126623160490e-33,2.837976991765556343e-23
3.228325956782087669e+00,1.610244140842177069e-02,6.446447039063581006e-23,7.888770445392133442e-74,9.650032730571384215e-58,5.782353783055436455e-44,2.265405459473475446e-32,6.446447036798175346e-23
3.221783413011847674e+00,1.691027653316704016e-02,1.434426986319633546e-22,3.585358768100643038e-73,3.668664809064124410e-57,1.838830671987531846e-43,6.026187575734622968e-32,1.434426985717014721e-22
3.215183965566416724e+00,1.768586465543581579e-02,3.191800320728606186e-22,1.639656282143990770e-72,1.401231009134782783e-56,5.865794652314116117e-43,1.605509866792565994e-31,3.191800319123096254e-22
