Energy_eV,Averaged_Absorbance
2.380678109280804922e+00,2.110273592642558649e-01
2.377163890113682232e+00,2.134785461632794923e-01
2.373614593901342218e+00,2.152770090091690458e-01
2.370121182002370208e+00,2.173102104053649120e-01
2.366592869684708500e+00,2.192024903528732582e-01
2.363120080803460699e+00,2.206163294650702045e-01
2.359612566839831782e+00,2.230658370359496490e-01
2.356160218894884917e+00,2.248350629842454096e-01
2.352717958447965163e+00,2.263870947092543884e-01
2.349241232972737237e+00,2.285753255399563810e-01
2.345819144911085896e+00,2.304489512466567080e-01
2.342407012108732811e+00,2.321627309506195391e-01
2.338960671508063971e+00,2.344224057686615792e-01
2.335568447223687283e+00,2.365594687439624144e-01
2.332186048261204458e+00,2.380902664116673617e-01
2.328769695945311469e+00,2.403097545957169345e-01
2.325406946215587745e+00,2.426504223721961950e-01
2.322053894121832940e+00,2.446042555622635062e-01
2.318667140372856927e+00,2.461069940763537245e-01
2.315333482709687196e+00,2.484010640052021213e-01
2.312009397199485061e+00,2.510189974592600959e-01
2.308651859023291397e+00,2.532614874903802993e-01
2.305346917528073192e+00,2.549948500067801826e-01
2.302051424858442719e+00,2.573244874380178904e-01
2.298765340550962488e+00,2.592308783067732714e-01
2.295446131062569339e+00,2.615171606414083416e-01
2.292178863892637253e+00,2.635808151681600098e-01
2.288920884557167579e+00,2.658783741055580352e-01
2.285672153508691018e+00,2.678738120351118468e-01
2.282390620110806623e+00,2.701266093964884707e-01
2.279160386722053122e+00,2.725780901562141478e-01
2.275939283813299241e+00,2.746389414426742004e-01
2.272727272727272485e+00,2.770811233919737715e-01
2.269524315024617156e+00,2.793208499462647709e-01
2.266330372482362687e+00,2.815536779396605183e-01
2.263104102788728422e+00,2.838791146521146835e-01
2.259928192604202302e+00,2.857628912431029455e-01
2.256761183707640228e+00,2.880548479860735589e-01
2.253603038729258490e+00,2.909067913020318974e-01
2.250453720508167166e+00,2.927590800528078741e-01
2.247313192090907297e+00,2.953770913806729737e-01
2.244181416730010703e+00,2.976483030845045730e-01
2.241017855851948237e+00,2.998722739203925070e-01
2.237903589669548055e+00,3.024403843876962705e-01
2.234797967054752643e+00,3.047749064312436640e-01
2.231700952072422250e+00,3.068254243827329697e-01
2.228612508986340668e+00,3.091608025431915041e-01
2.225532602257838999e+00,3.113643050927165090e-01
2.222461196544430972e+00,3.138986504263465704e-01
2.219398256698466021e+00,3.167070698160128206e-01
2.216343747765782357e+00,3.186829320549273703e-01
2.213297634984381812e+00,3.207763057423882458e-01
2.210259883783109558e+00,3.232125980108030427e-01
2.207230459780344933e+00,3.258049928713609433e-01
2.204209328782707811e+00,3.276469488151125264e-01
2.201196456783767630e+00,3.300822622351927138e-01
2.198191809962772414e+00,3.321596685656917902e-01
2.195195354683378675e+00,3.342027652491233458e-01
2.192207057492398192e+00,3.366971302919075093e-01
2.189226885118553678e+00,3.388312171208646140e-01
2.186254804471243762e+00,3.413792314501124525e-01
2.183290782639316863e+00,3.438417734352428590e-01
2.180334786889857934e+00,3.459145808035785641e-01
2.177386784666982766e+00,3.483796796144602581e-01
2.174446743590642939e+00,3.507227639934325514e-01
2.171514631455440103e+00,3.522968747773941867e-01
2.168590416229450923e+00,3.544826452530823180e-01
2.165674066053058677e+00,3.566722693581810821e-01
2.162765549237799512e+00,3.595973770051854035e-01
2.159864834265210476e+00,3.612783971985725207e-01
2.156971889785694430e+00,3.634113534598242823e-01
2.154124105343617757e+00,3.655799795743774894e-01
2.151246508561614146e+00,3.674896680113016734e-01
2.148376589625420330e+00,3.701172062418767728e-01
2.145514317847564634e+00,3.725234358203223795e-01
2.142659662703898071e+00,3.748428838049359668e-01
2.139812593832507659e+00,3.759930268277240639e-01
2.136973081032640387e+00,3.785114316711861160e-01
2.134177825203951606e+00,3.808144572415761986e-01
2.131353237422437985e+00,3.829371046597641048e-01
2.128536116451524407e+00,3.853073602909077855e-01
2.125726432722472747e+00,3.870818302845757675e-01
2.122924156822461939e+00,3.894885278632164716e-01
2.120165509694627914e+00,3.923263671301911448e-01
2.117377866571043210e+00,3.938083254331020133e-01
2.114597544338335577e+00,3.965732506256486323e-01
2.111824514195207669e+00,3.988579597513658981e-01
2.109058747491240560e+00,4.003181654218226360e-01
2.106335994564294101e+00,4.027096479292615050e-01
2.103584575975028237e+00,4.052695658572512682e-01
2.100840336134453867e+00,4.075394718874632560e-01
2.098138747884940702e+00,4.099112578815262697e-01
2.095408689186677442e+00,4.121922604218077879e-01
2.092685725858169921e+00,4.140340892908961901e-01
2.089969830274224449e+00,4.168418505031292742e-01
2.087296109886040085e+00,4.186993290487560637e-01
2.084594176585300218e+00,4.214700145779451401e-01
2.081899229361495074e+00,4.238575491373535731e-01
2.079246105605580208e+00,4.261475352308167763e-01
2.076564959640955443e+00,4.286956043297452390e-01
2.073890719339031019e+00,4.304449741665616891e-01
2.071257955133880113e+00,4.336072453492452738e-01
2.068597357533697778e+00,4.355004661099579621e-01
2.065943586411422395e+00,4.376795848450039106e-01
2.063330948300247769e+00,4.407394238448028578e-01
2.060690663741815420e+00,4.427352629417843355e-01
2.058091286307053736e+00,4.458916375617164585e-01
2.055464385764251389e+00,4.477817022643573175e-01
2.052844182504470094e+00,4.503656789916603564e-01
2.050264550264550234e+00,4.527589535810067067e-01
2.047657578810046619e+00,4.551890399529648357e-01
